200000,21024906,24417,0,2,0,0,0,0.0462,0.0618,0.0637,0.0568,0.0550,0.0693,0.0648,0.0649,0.0694,0.2493,0.2483,0.0651,0.0682,0.0635,0.0683,0.0335,1.3478
400000,39907720,49872,1,4,2,0,11,0.0868,0.1060,0.1086,0.0922,0.0933,0.1087,0.1588,0.1701,0.0993,0.5578,0.5562,0.1616,0.1051,0.1580,0.1126,0.1151,2.7901
[EVENT] Viable replicators have appeared!
600000,57089399,72863,1,3,0,0,0,0.1037,0.2225,0.1220,0.2007,0.2014,0.2289,0.1176,0.2909,0.2195,0.9011,0.9006,0.1198,0.1174,0.2737,0.1184,0.1292,4.2671
800000,73551459,94319,2,4,1,1,5,0.1201,0.1279,0.1327,0.1243,0.3169,0.1372,0.2360,0.1366,0.1322,1.2222,1.2224,0.2480,0.1325,0.1328,0.2436,0.2859,4.9514
1000000,89705785,114972,2,5,1,0,3,0.1257,0.1347,0.1428,0.1302,0.2226,0.1423,0.1866,0.0750,0.0726,0.7841,0.7856,0.1956,0.0714,0.1359,0.0721,0.2366,3.5138
1200000,105207811,133938,2,3,0,0,1,0.1402,0.1530,0.1563,0.3851,0.5574,0.4187,0.1455,0.1572,0.1514,1.8478,1.8550,0.5185,0.2887,0.4038,0.1533,0.2137,7.5454
1400000,119831698,151240,0,2,0,0,0,0.1532,0.1638,0.3200,0.1533,0.1539,0.1650,0.1565,0.3211,0.1608,2.2265,2.2377,0.1591,0.1616,0.5657,0.1608,0.4476,7.7067
[EVENT] Viable replicators have gone extinct. Please reserve a moment of silence.
1600000,134211827,167624,0,2,0,0,0,0.1567,0.3252,0.1696,0.1609,0.1589,0.1686,0.3127,0.1738,0.1643,2.5502,2.5653,0.1709,0.3240,0.7121,0.1663,0.2516,8.5310
1800000,147687196,182648,2,3,2,2,13,0.3234,0.4985,0.3488,0.3289,0.3269,0.3474,0.4819,0.3559,0.1786,2.9310,2.9493,0.3473,0.4984,0.1728,0.1708,0.5174,10.7772
[EVENT] Viable replicators have appeared!
2000000,160537832,195994,6,6,3,3,6,0.5048,0.1797,0.5435,0.5098,0.5075,0.5295,0.1711,0.5480,0.3627,3.4230,3.4471,0.5311,0.6934,0.3491,0.1737,0.8125,13.2864
2200000,172787950,208157,9,6,2,1,10,0.6759,0.1843,0.7283,0.6793,0.1787,0.1881,0.1767,0.7300,0.5434,3.7968,3.8255,0.1839,0.1818,0.1856,0.3527,0.2929,12.9039
2400000,184670219,219777,10,7,2,1,22,0.1852,0.1883,0.1973,0.1812,0.1825,0.3763,0.1834,0.1890,0.1925,4.1200,4.1521,0.3701,0.1864,0.1864,0.1906,0.3049,11.3859
2600000,196745869,230829,14,11,2,2,41,0.1867,0.0968,0.1011,0.1853,0.1835,0.2860,0.1826,0.1930,0.1939,2.2443,2.2629,0.2804,0.0955,0.1885,0.0934,0.1593,6.9333
2800000,207893118,240458,12,11,2,4,119,0.1910,0.1936,0.2083,0.5668,0.5617,0.1992,0.1877,0.5954,0.1925,5.0036,5.0470,0.7682,0.1963,0.5736,0.1877,0.6493,15.3219
3000000,219192358,250034,11,11,7,0,43,0.1925,0.1015,0.2074,0.0972,0.3723,0.2004,0.1896,0.3962,0.1950,2.6731,2.6985,0.4781,0.1964,0.3813,0.1900,0.1704,8.7399
3200000,229846180,258788,8,11,2,4,20,0.5741,0.2005,0.6136,0.3871,0.9271,0.2098,0.5670,0.9842,0.5859,5.6822,5.7395,0.2052,0.5877,0.2027,0.5662,0.3415,18.3745
3400000,240048930,266734,7,11,0,1,7,0.2011,0.2054,0.2118,0.1979,0.2001,0.2119,0.7660,0.2111,0.2092,6.1439,6.2081,0.2044,0.2036,0.2024,0.2009,0.3510,15.9286
3600000,250463691,274192,6,11,0,0,2,0.1042,0.1047,0.2134,0.2007,0.1028,0.2120,0.1011,0.1078,0.2101,3.2570,3.2921,0.2070,0.2053,0.2043,0.2017,0.3540,9.0780
3800000,260569617,281229,9,11,2,3,23,0.0702,0.0709,0.2148,0.0716,0.0698,0.2135,0.0705,0.0742,0.0738,0.1585,0.1608,0.0743,0.0721,0.0722,0.2035,0.1256,1.7963
4000000,270687496,287949,14,11,6,2,137,0.4154,0.2100,0.8513,0.2074,0.2095,0.8448,0.4106,0.2218,0.4313,0.4621,0.4692,0.4293,0.4237,0.4238,0.8079,0.7392,7.5573
4200000,279955565,293776,16,11,2,1,405,0.2088,0.2201,1.1079,0.2069,0.4250,1.0953,0.2111,0.4485,0.6649,0.9533,0.9683,0.6634,0.6534,0.6536,0.2131,1.1433,9.8369
4400000,289700258,299478,18,11,6,2,50,0.4132,0.4293,1.2850,0.2117,0.2073,1.2726,0.4130,0.6519,0.8564,1.3749,1.3980,0.2203,0.8442,0.2150,0.4118,1.4800,11.6845
4600000,298914255,304672,19,11,1,0,129,0.1062,0.1062,0.7639,0.1045,0.2097,0.1096,0.1042,0.1104,0.1089,0.9223,0.2306,0.2216,0.1116,0.1064,0.3138,0.9402,4.5701
4800000,308040592,309529,18,11,4,1,123,0.4315,0.2181,0.2288,0.2090,0.6336,0.2210,0.2103,0.4458,0.4352,2.3112,0.9342,0.2222,0.4417,0.2174,0.8359,2.2716,10.2674
5000000,316840379,314192,16,12,5,11,56,0.2196,0.2216,0.4598,0.4219,0.2150,0.2257,0.4172,0.6657,0.2217,2.7500,1.4064,0.2224,0.2250,0.4327,1.0362,0.3983,9.5391
5200000,325609867,318640,17,12,2,3,44,0.4390,0.2191,0.2339,0.2133,0.2191,0.4536,0.6314,0.8900,0.4484,3.2092,1.8807,0.4465,0.2186,0.6539,1.2508,0.7995,12.2069
5400000,333860324,322562,15,12,3,1,51,0.2234,0.4508,0.4765,0.4396,0.2188,0.6978,0.8685,0.2285,0.6928,3.7814,2.4235,0.6864,0.4530,0.2268,1.5081,0.4060,13.7818
5600000,342094377,326265,14,12,4,4,58,0.1142,0.1194,0.3534,0.1151,0.1135,0.1234,0.1127,0.1201,0.1185,2.0981,1.4403,0.4539,0.1144,0.1160,0.8496,0.4090,6.7716
5800000,349987237,329583,9,12,0,0,14,0.1519,0.1559,0.3138,0.0745,0.0731,0.1599,0.1484,0.1576,0.0776,1.5688,1.1302,0.0774,0.0765,0.1543,0.6426,0.1365,5.0990
6000000,358143455,332810,9,12,4,0,156,0.2300,0.2330,0.2347,0.2201,0.2206,0.2363,0.2287,0.2390,0.2332,0.4801,0.4888,0.2302,0.2270,0.2285,0.2220,0.4191,4.3714
